# Per-platform want-lists by consensus: Time Extension reader rankings
# (main list plus the genre list where one exists) and Wikipedia's cited
# 'listed among the best'. votes = how many of those carry the game.
platform	game	votes	status	path_on_drive
snes	Bahamut Lagoon	1	on_disk	./roms/USA/Bahamut Lagoon (Japan) (Translated En).7z
snes	Breath of Fire	1	on_disk	./roms/USA/Breath of Fire (USA).zip
snes	Breath of Fire II	1	on_disk	./roms/Europe/Breath of Fire II (Europe).zip
snes	Cybernator	1	on_disk	./roms/Europe/Cybernator (Europe).zip
snes	Demon's Crest	1	on_disk	./roms/USA/Demon's Crest (USA).zip
snes	Dragon Quest V: Hand of the Heavenly Bride	1	source	
snes	F-Zero	1	have	
snes	Fire Emblem: Mystery Of The Emblem	1	source	
snes	Front Mission	1	on_disk	./roms/USA/Front Mission (Japan) (Translated En).7z
snes	Harvest Moon	1	have	
snes	International Superstar Soccer Deluxe	1	have	
snes	Kirby Super Star	1	on_disk	./roms/USA/Kirby Super Star (USA).zip
snes	Live A Live	1	source	
snes	Ogre Battle: The March of the Black Queen	1	source	
snes	R-Type III: The Third Lightning	1	have	
snes	Secret of Evermore	1	have	
snes	Seiken Densetsu 3	1	on_disk	./roms/USA/Seiken Densetsu 3 (Japan) (Translated En).7z
snes	Shadowrun	1	have	
snes	Star Ocean	1	on_disk	./roms/USA/Star Ocean (Japan) (Translated En).7z
snes	Street Fighter II' Turbo: Hyper Fighting	1	source	
snes	Super Bomberman 3	1	have	
snes	Super Ghouls 'n Ghosts	1	have	
snes	Super Mario RPG: Legend of the Seven Stars	1	source	
snes	Super Mario World 2: Yoshi's Island	1	have	
snes	Super Punch-Out!!	1	on_disk	./roms/USA/Super Punch-Out!! (USA).zip
snes	Super Smash TV	1	on_disk	./roms/USA/Super Smash T.V. (USA).zip
snes	Super Tennis	1	on_disk	./roms/USA/Super Tennis (USA).zip
snes	Teenage Mutant Ninja Turtles IV: Turtles in Time	1	have	
snes	Tetris Attack	1	on_disk	./roms/USA/Tetris Attack (USA).zip
snes	The Legend of the Mystical Ninja	1	have	
snes	U.N. Squadron	1	have	
snes	Zombies Ate My Neighbors	1	have	
wonderswan	Final Fantasy IV	2	source	
wonderswan	Tetris	2	source	
wonderswan	Beatmania For WonderSwan	1	source	
wonderswan	Guilty Gear Petit 2	1	have	
wonderswan	Gunpey	1	source	
wonderswan	Judgement Silversword -Rebirth Edition-	1	source	
wonderswan	Kaze no Klonoa: Moonlight Museum	1	source	
wonderswan	Makaimura For WonderSwan	1	source	
wonderswan	Mr. Driller	1	have	
wonderswan	One Piece Grand Battle Swan Colosseum	1	source	
wonderswan	Pocket Fighter	1	source	
wonderswan	Rainbow Islands: Putty's Party	1	source	
wonderswancolor	Final Fantasy IV	2	on_disk	./roms/Final Fantasy IV (Japan).zip
wonderswancolor	Tetris	2	on_disk	./roms/Tetris (Japan).zip
wonderswancolor	Beatmania For WonderSwan	1	have	
wonderswancolor	Guilty Gear Petit 2	1	on_disk	./roms/Guilty Gear Petit 2 (Japan).zip
wonderswancolor	Gunpey	1	source	
wonderswancolor	Judgement Silversword -Rebirth Edition-	1	have	
wonderswancolor	Kaze no Klonoa: Moonlight Museum	1	have	
wonderswancolor	Makaimura For WonderSwan	1	have	
wonderswancolor	Mr. Driller	1	have	
wonderswancolor	One Piece Grand Battle Swan Colosseum	1	source	
wonderswancolor	Pocket Fighter	1	have	
wonderswancolor	Rainbow Islands: Putty's Party	1	have	
