# Same game, different name: regional titles, subtitles, punctuation.
# Nothing to fix unless you prefer the emulator's wording.
oldsplus.zip	Oriental Legend Special Plus / Xi You Shi E Zhuan	Oriental Legend 2 (Korea) / Xiyou Shi E Zhuan Qunmo Luanwu (World, China, Japan, Hong Kong, Taiwan) (ver. 205) [Oriental Ex]
openice.zip	2 On 2 Open Ice Challenge	NHL Open Ice: 2 on 2 Challenge (rev 1.21)
pairs.zip	Pairs - Featuring The Giffy Girls	Pairs (V1.2, 09/30/94)
pbobbl2n.zip	Bust-A-Move Again	Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo)
pbobblen.zip	Bust-a-Move	Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083)
pgmdemo.zip	ZZZ(notgame):Chaos Demo	Chaos (PGM Demo)
pistoldm.zip	Pistol Daimyo no Bōken	Pistol Daimyo no Bouken (Japan)
plegends.zip	Power Instinct Legends	Gogetsuji Legends (US, Ver. 95.06.20)
rallybik.zip	Rally Bike / Dash Yarou	Rally Bike (Europe, US) / Dash Yarou (Japan)
riot.zip	Kamniari Kishi Riot	Riot (NMK)
sbishi.zip	Super Bishi Bashi Championship	Super Bishi Bashi Champ (ver JAA, 2 Players)
sfzch.zip	Street Fighter Alpha: Warriors' Dreams	Street Fighter Zero (CPS Changer, Japan 951020)
sonicwi.zip	Sonic Wings Reunion	Sonic Wings (Japan)
spotty.zip	ZZZ(notgame):Spotty	Spotty (Ver. 2.0.2)
srdarwin.zip	Super Real Darwin	SRD: Super Real Darwin (World)
ssideki4.zip	The Ultimate 11: SNK Football Championship	The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero
strhoop.zip	Street Slam	Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004)
sucasino.zip	ZZZ(notgame):Super Casino	Super Casino
suchie2.zip	Idol Janshi Suchie-pai 2	Idol Janshi Suchie-Pai II (ver 1.1)
svc.zip	SVC Chaos - SNK Vs. Capcom	SNK vs. Capcom - SVC Chaos (NGM-2690 ~ NGH-2690)
svcpcb.zip	SVC Chaos - SNK Vs. Capcom	SNK vs. Capcom - SVC Chaos (JAMMA PCB, NEO-MVH MVO PCB)
syscheck.zip	ZZZ(notgame):Neo-geo Bios	Neo System Check (ver 1.0b)
teot.zip	Eye of Typhoon ,The	The Eye of Typhoon (HB, Beta 7 Version)
theglad.zip	The Gladiator / Road Of The Sword / Shen Jian	The Gladiator / Shenjian Fumo Lu / Shenjian Fengyun (M68k label V101) (ARM label V107, ROM 06/06/03 SHEN JIAN V107)
twocrude.zip	Two Crude Dudes	Two Crude (US FT revision 1)
ufosensi.zip	UFO Senshi Yoko-chan	Ufo Senshi Yohko Chan (MC-8123, 317-0064)
wbml.zip	Wonder Boy In Monster Land	Wonder Boy: Monster Land (Japan New Ver., MC-8123, 317-0043)
wldcourt.zip	World Court	Pro Tennis World Court (Japan)
ws.zip	World Stadium	Pro Yakyuu World Stadium (Japan)
