neogalag.zip	ZZZ(notgame):Demos	Galaga Demo (HB, set 1)
neopang.zip	Neo Pong	Neo Pang (HB)
neoprimo.zip	ZZZ(notgame):neoprimo	Primo (HB, Demo)
neoww2.zip	ZZZ(notgame):Neo-geo Bios	WW2 - Arcade Development Project (HB, Demo)
ngfrog.zip	Frog Feast	Neo Frog Feast (HB)
ngftdemo.zip	ZZZ(notgame):Demos	NGF Transparency (HB, Demo)
ngmontst.zip	ZZZ(notgame):Monitor Test Patterns Tool	Monitor Test Patterns Tool (v1.3)
ninjakun.zip	Ninja-kun: Adventure of Devil Castle	Ninjakun Majou no Bouken
ninjamas.zip	Ninja Master's: Haō Ninpō Chō	Ninja Master's - Haoh-ninpo-cho
nob.zip	Zippy Bug	Noboranka (Japan)
oisipuzl.zip	Triple Fun	Oishii Puzzle Ha Irimasenka
olds.zip	Oriental Legend Special / Xi You Shi E Zhuan Super	Oriental Legend Super / Xiyou Shi E Zhuan Super (ver. 101, Korean Board)
oldsplus.zip	Oriental Legend Special Plus / Xi You Shi E Zhuan	Oriental Legend 2 (Korea) / Xiyou Shi E Zhuan Qunmo Luanwu (World, China, Japan, Hong Kong, Taiwan) (ver. 205) [Oriental Ex]
openice.zip	2 On 2 Open Ice Challenge	NHL Open Ice: 2 on 2 Challenge (rev 1.21)
p47.zip	P47 Thunderbolt	P-47: The Phantom Fighter (World)
pairs.zip	Pairs - Featuring The Giffy Girls	Pairs (V1.2, 09/30/94)
pang.zip	Buster Bros.	Pang (World)
pbobbl2n.zip	Bust-A-Move Again	Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo)
pbobble2.zip	Bust-A-Move Again	Puzzle Bobble 2 (Ver 2.3O 1995/07/31)
pbobblen.zip	Bust-a-Move	Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083)
pgmdemo.zip	ZZZ(notgame):Chaos Demo	Chaos (PGM Demo)
pistoldm.zip	Pistol Daimyo no Bōken	Pistol Daimyo no Bouken (Japan)
plegends.zip	Power Instinct Legends	Gogetsuji Legends (US, Ver. 95.06.20)
rallybik.zip	Rally Bike / Dash Yarou	Rally Bike (Europe, US) / Dash Yarou (Japan)
riot.zip	Kamniari Kishi Riot	Riot (NMK)
robocopi.zip	ZZZ(notgame):Demos	Robocop (FMV Demo)
saiyugou.zip	China Gate	Sai Yu Gou Ma Roku (Japan)
sbishi.zip	Super Bishi Bashi Championship	Super Bishi Bashi Champ (ver JAA, 2 Players)
secretag.zip	Sly Spy	Secret Agent (World, revision 3)
sfzch.zip	Street Fighter Alpha: Warriors' Dreams	Street Fighter Zero (CPS Changer, Japan 951020)
shadoww.zip	Ninja Gaiden	Shadow Warriors (World, set 1)
shippumd.zip	Kingdom Grandprix	Shippu Mahou Daisakusen (Japan)
sokoban.zip	Boxy Boy	Sokoban LE
solrwarr.zip	Soldier of Light	Solar-Warrior (US)
sonicwi.zip	Sonic Wings Reunion	Sonic Wings (Japan)
spec2k.zip	Fire Hawk	Spectrum 2000 (vertical, Korea)
spidermi.zip	ZZZ(notgame):Demos	Spiderman (FMV Demo)
spotty.zip	ZZZ(notgame):Spotty	Spotty (Ver. 2.0.2)
srdarwin.zip	Super Real Darwin	SRD: Super Real Darwin (World)
ssideki4.zip	The Ultimate 11: SNK Football Championship	The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero
stagger1.zip	Red Hawk	Stagger I (Japan)
strhoop.zip	Street Slam	Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004)
sucasino.zip	ZZZ(notgame):Super Casino	Super Casino
suchie2.zip	Idol Janshi Suchie-pai 2	Idol Janshi Suchie-Pai II (ver 1.1)
supduck.zip	Hell Out	Super Duck
