platform	artwork filed as	the ROM that name became
megadrive	Putty Squad (Europe) (Proto)	Bubba 'N' Stix (Europe) (Beta)
megadrive	Flash Point (Japan) (Proto)	Soleil (Japan, Beta)
megadrive	Project MD (World) (Unl)	Sonic the Hedgehog 2 (World) (Hack)
megadrive	Fastest 1 (Japan)	Flashback (Japan)
megadrive	It Came from the Desert (USA) (Proto)	Lufia & The Fortress of Doom (USA, Proto)
megadrive	Chinese Fighter III (China) (Unl)	Tunshi Tiandi III (Taiwan, Traditional)
megadrive	Ball Jacks (Japan, Europe)	Bonanza Bros. (Japan, Europe, En,Ja)
megadrive	HardBall! (USA)	Al Michaels Announces HardBall III (USA, Europe)
megadrive	Smurfs Travel the World, The (Europe)	Schtroumpfs Autour du Monde, Les (Europe, En,Fr,De,Es)
megadrive	Magical Taruruuto-kun (Japan)	雀皇登龍門 (Japan)
megadrive	Puzzle & Action - Ichidanto-R (Japan)	F-117 Stealth - Operation - Night Storm (Japan)
megadrive	Heavy Unit - Mega Drive Special (Japan)	Dyna Brothers 2 Special (Japan, Virtual Console)
megadrive	Shi Jie Zhi Bang Zheng Ba Zhan - World Pro Baseball 94 (China) (Unl)	San Guo Zhi Lie Zhuan - Luan Shi Qun Ying (Asia)
megadrive	Tetris (Japan)	SD Valis (Japan)
gamegear	Last Bible 1	Megami Tensei Gaiden - Last Bible Special (Japan)
gamegear	S.S. Lucifer - Man Overboard! (Europe)	Man Overboard! (Europe)
gamegear	Smurfs Travel the World, The (Europe)	Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es)
gamegear	Sokoban World	Soukoban (Japan) (En)
gamegear	Ichidant~R GG (Japan)	Puzzle & Action - Ichidanto-R (Japan)
gamegear	Last Bible 2	Megami Tensei Gaiden - Last Bible (Japan)
gamegear	Mick & Mack as the Global Gladiators (USA, Europe)	Global Gladiators (Europe)
gamegear	Dropzone (Europe)	Archer Maclean's Dropzone (Europe)
gamegear	RoboCop versus The Terminator (USA, Europe)	Terminator, The (USA, Europe)
nes	Marvel's X-Men (U) [a1]	Uncanny X-Men, The (USA) (Alt)
nes	Marvel's X-Men (U)	Uncanny X-Men, The (USA)
nes	T&C Surf Design (U)	Town & Country Surf Designs - Wood & Water Rage (USA)
snes	Spawn (USA)	Todd McFarlane's Spawn - The Video Game (USA)
snes	Super Bomberman 5 Gold Cartridge (J) [!]	Super Bomberman 5 - Caravan Event Ban (Japan)
snes	R.P.M. Racing (USA)	Radical Psycho Machine Racing (USA)
snes	Jammit (USA)	Street Sports - Jammit (USA)
snes	Street Hockey '95 (USA)	Street Sports - Street Hockey '95 (USA)
sfc	Aryol (Japan)	Ugoku E Ver. 2.0 - Aryol (Japan) (En,Ja)
sfc	Kikou Keisatsu Metal Jack (Japan)	Armored Police - Metal Jack (Japan)
sfc	Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan) (Translated En)	Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1)
sfc	Masters - Harukanaru Augusta 2 (Japan)	Harukanaru Augusta 2 - Masters (Japan)
sfc	Masters New - Harukanaru Augusta 3 (Japan)	Harukanaru Augusta 3 - Masters New (Japan)
sfc	Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan)	Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan)
sfc	Assault Suits Valken (Japan) (Translated En)	Juusou Kihei Valken (Japan)
mastersystem	Sangokushi 3 (Korea) (Unl)	Samgukji III - Cheonha Jaengpae (Korea)
mastersystem	Puznic (Korea) (Unl)	Puzzle Game (Korea) (En)
mastersystem	Alex Kidd BMX Trial (Japan)	BMX Trial - Alex Kidd (Japan) (En)
mastersystem	Mick & Mack as the Global Gladiators (Europe)	Global Gladiators (Europe, Brazil) (En)
mastersystem	Comic Bakery (Korea)	Ppang Gongjang (Korea) (En)
mastersystem	Block Hole (Korea) (Unl)	Sagak-ui Bimil (Korea) (En)
neo-geo-pocket	Master of syougi (j) [!]	Shougi no Tatsujin Color (Japan)
pcengine	Formation Armed F (Japan)	Armed F (Japan) (En)
pcengine	Toshi Tensou Keikaku - Eternal City (Japan)	Eternal City - Toshi Tensou Keikaku (Japan)
pcengine	Taito Chase H.Q. (USA)	Chase H.Q. (USA)
pcengine	Niko Niko Pun (Japan)	Okaasan to Issho - Niko Niko Pun (Japan)
pcengine	Yuu Yuu Jinsei - Victory Life (Japan)	You-You Jinsei (Japan)
pcengine	Necromancer (Japan)	Jaseiken Necromancer (Japan)
pcengine	Order of the Griffon (USA)	Dungeons & Dragons - Order of the Griffon (USA)
pcengine	Busou Keiji - Cyber Cross (Japan)	Cyber Cross (Japan)
gbc	V-Rally - Championship Edition (USA)	V-Rally - Edition 99 (USA) (En,Fr,Es)
gbc	Daikatana (Europe)	John Romero's Daikatana (Europe) (En,Fr,It)
gbc	One Piece-Dream of Rufi's Pirates is B	From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (SGB Enhanced) (GB Compatible)
gbc	Yoda Stories (USA)	Star Wars - Yoda Stories (USA, Europe) (GB Compatible)
gbc	Bomberman Max-Ain Special Edition	Bomberman Max - Ain Version (Japan)
gbc	N.Y. Race (Europe)	NYR - New York Race (Europe) (En,Fr,De,Es,It,Pt)
gbc	Moon Patrol & Spy Hunter	Midway Presents Arcade Hits - Moon Patrol & Spy Hunter (USA, Europe) (GB Compatible)
gbc	Total Soccer 2000 (Europe)	David O'Leary's Total Soccer 2000 (Europe) (En,Fr,De,Es,It,Nl)
gbc	Asterix - Search for Dogmatix	Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)
gbc	Elmo's ABCs	Sesame Street - Elmo's ABCs (USA) (GB Compatible)
gbc	Moorhen 3 - The Chicken Chase! (Europe)	Moorhuhn 3 - ...Es Gibt Huhn! (Europe) (En,Fr,De,Es,It)
gbc	Tintin - Prisoners of the Sun (Europe)	Tintin - Le Temple Du Soleil (Europe) (En,Fr,De)
gbc	New Batman Adventures, The - Chaos in Gotham (USA)	Batman - Chaos in Gotham (USA)
gb	FIFA Soccer '98	FIFA - Road to the World Cup '98 (USA, Europe)
gb	Contra Fidgetts	Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)
gb	Arcade Classics - Battlezone & Super Breakout (USA, Europe)	Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)
gb	Mickey's Chase (USA)	Mickey's Dangerous Chase (USA)
gb	Little Indian in Big City	Indien dans la Ville, Un (Europe) (SGB Enhanced)
gb	Ace Striker	Takeda Nobuhiro no Ace Striker (Japan)
gb	NHL Hockey 96	NHL 96 (USA, Europe) (SGB Enhanced)
gb	The Smurfs 3	Smurfs Nightmare, The (Europe) (En,Fr,De,Es)
gb	Snow Bros Jr.	Snow Brothers (USA)
gb	Muhammad Ali's Boxing (USA, Europe)	Muhammad Ali Heavyweight Boxing (USA, Europe)
gb	Wizardry Gaiden 3-Scripture of the Dark	Wizardry Gaiden III - Yami no Seiten (Japan)
gb	Mortal Kombat I & II (USA, Europe)	Mortal Kombat & Mortal Kombat II (USA, Europe)
gb	The Smurfs 2	Smurfs Travel the World, The (Europe) (En,Fr,De,Es)
gb	Fatal Fury	Nettou Real Bout Garou Densetsu Special (Japan) (SGB Enhanced)
gb	XVII Olympic Winter Games, The - Lillehammer 1994 (USA)	Winter Olympic Games (USA)
gb	Wizardry Gaiden 2-Curse of the Ancient Emperor	Wizardry Gaiden II - Kodai Koutei no Noroi (Japan)
gb	Taz-Mania 1	Looney Tunes 2 - Tasmanian Devil in Island Chase (USA, Europe)
wonderswan	012 Rockman &  Forte	Rockman & Forte - Mirai Kara no Chousensha (Japan)
