# Games on the Super Game HDD that your server does not have, rated 80+.
# Rating is the one already in that drive's own gamelist.xml, not my opinion.
platform	game	rating	size_mb	source_folder	path_on_drive
3do	Primal Rage (USA, Europe)	100	195	3do	./roms/USA/Primal Rage (USA, Europe).chd
amiga500	QIX	100	0	amiga500	./roms/QIX.zip
amiga500	Supaplex	100	0	amiga500	./roms/Supaplex.zip
amiga500	Swords And Galleons	100	1	amiga500	./roms/Swords And Galleons.zip
amiga500	Troddlers	100	1	amiga500	./roms/Troddlers.zip
amiga500	Anarchy	100	1	amiga500	./roms/Anarchy.zip
amstradcpc	Saint Dragon (E)	100	0	amstradcpc	./roms/St Dragon (E).zip
atari2600	Phaser Patrol (USA)	100	0	atari2600	./roms/Phaser Patrol (USA).zip
atari2600	Tunnel Runner (USA)	100	0	atari2600	./roms/Tunnel Runner (USA).zip
atari2600	Solar Fox (USA)	100	0	atari2600	./roms/Solar Fox (USA).zip
atari5200	Miner 2049er Starring Bounty Bob (USA)	100	0	atari5200	./roms/Miner 2049er Starring Bounty Bob (USA).zip
atari7800	Tomcat : The F-14 Fighter Simulator (USA)	100	0	atari7800	./roms/Tomcat - The F-14 Fighter Simulator (USA).7z
c64	Altered Beast (USA)	100	0	c64	./roms/Altered Beast (USA).zip
c64	Creatures (Europe)	100	0	c64	./roms/Creatures (Europe).zip
c64	Fort Apocalypse (USA)	100	0	c64	./roms/Fort Apocalypse (USA).zip
c64	Gyropod (Europe)	100	0	c64	./roms/Gyropod (Europe).zip
c64	Super Hang-On (Europe)	100	0	c64	./roms/Super Hang-On (Europe).zip
c64	Zoom! (Europe)	100	0	c64	./roms/Zoom! (Europe).zip
colecovision	War Games (USA, Europe)	100	0	colecovision	./roms/War Games (USA, Europe).zip
famicom	Summer Carnival '92 : Recca (Japan) (Translated En)	100	0	famicom	./roms/Summer Carnival '92 - Recca (Japan) (Translated En).zip
gb	Puzznic (Japan)	100	0	gb	./roms/Puzznic (Japan).zip
gb	Superman (USA, Europe)	100	0	gb	./roms/Superman (USA, Europe).zip
gb	Osawagase! Penguin Boy (USA, Europe)	100	0	gb	./roms/Amazing Penguin (USA, Europe).zip
gba	Classic NES Series - Xevious (USA, Europe)	100	4	gba	./roms/Classic NES Series - Xevious (USA, Europe).zip
intellivision	Boxing (World)	100	0	intellivision	./roms/Boxing (World).zip
intellivision	Mouse Trap (World)	100	0	intellivision	./roms/Mouse Trap (World).zip
intellivision	Sea Battle (World)	100	0	intellivision	./roms/Sea Battle (World).zip
megadrive	Nikkan Sports Pro Yakyuu Van (Japan)	100	0	megadrive	./roms/Japan/Nikkan Sports Pro Yakyuu Van (Japan).zip
msx2	Metal Gear (Europe)	100	0	msx2	./roms/Metal Gear (Europe).zip
n64	F1 Racing Championship (Europe) (En,Fr,De,Es,It)	100	15	n64	./roms/USA/F1 Racing Championship (Europe) (En,Fr,De,Es,It).zip
n64	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	100	10	n64	./roms/USA/F-1 World Grand Prix II (Europe) (En,Fr,De,Es).zip
n64	Indy Racing 2000 (USA)	100	11	n64	./roms/USA/Indy Racing 2000 (USA).zip
nds	Avalon Code (USA)	100	61	nds	./roms/Avalon Code (USA).7z
nds	Diddy Kong Racing DS (USA)	100	20	nds	./roms/Diddy Kong Racing DS (USA).7z
nds	Giana Sisters Ds (USA)	100	4	nds	./roms/Giana Sisters DS (USA).7z
nds	Hoshi no Kirby - Ultra Super Deluxe (USA)	100	58	nds	./roms/Kirby Super Star Ultra (USA).7z
nds	Soul Bubbles (USA)	100	19	nds	./roms/Soul Bubbles (USA).7z
nds	Spider-Man 3 (USA)	100	35	nds	./roms/Spider-Man 3 (USA).7z
nes	Aussie Rules Footy (Australia)	100	0	nes	./roms/Aussie Rules Footy (Australia).zip
ngc	International Superstar Soccer 2 (Europe)	100	727	gamecube	./roms/International Superstar Soccer 2 (Europe).rvz
ngc	Nba Live 06 (USA)	100	1009	gamecube	./roms/NBA Live 06 (USA).rvz
ngc	NBA Street Vol.3 (USA)	100	999	gamecube	./roms/NBA Street V3 (USA).rvz
ngc	V-Rally 3 (Europe)	100	944	gamecube	./roms/V-Rally 3 (Europe).rvz
ngc	International Superstar Soccer 3 (Europe)	100	1080	gamecube	./roms/International Superstar Soccer 3 (Europe).rvz
psx	Earthworm Jim 2 (Europe)	100	204	psx	./roms/Earthworm Jim 2 (Europe).chd
psx	Gundam Battle Assault 2 (USA)	100	124	psx	./roms/Gundam Battle Assault 2 (USA).chd
psx	NBA Live 2003 (USA)	100	271	psx	./roms/NBA Live 2003 (USA).chd
saturn	Cyberia (USA)	100	260	saturn	./roms/Cyberia (USA).chd
segacd	The Adventures of Batman & Robin (USA)	100	274	segacd	./roms/Adventures Of Batman & Robin, The (USA).chd
segacd	Wolfchild (USA)	100	340	segacd	./roms/Wolfchild (USA).chd
sfc	Downtown : Nekketsu Baseball Monogatari, Yakyuu de Shoubu da! Kunio-kun (Japan)	100	1	sfc	./roms/Downtown - Nekketsu Baseball Monogatari - Yakyuu de Shoubu da! Kunio-kun (Japan).7z
sfc	Kunio no Oden (Japan)	100	0	sfc	./roms/Kunio no Oden (Japan).7z
sfc	Shin Nekketsu Kouha : Kunio-tachi no Banka (Japan) (Translated En)	100	1	sfc	./roms/Shin Nekketsu Kouha - Kunio-tachi no Banka (Japan) (Translated En).7z
sfc	Super Famista 3 (Japan)	100	1	sfc	./roms/Super Famista 3 (Japan).7z
sfc	Super Trump Collection 2 (Japan)	100	0	sfc	./roms/Super Trump Collection 2 (Japan).7z
sgb	Lolo no Daibouken (Europe)	100	0	sgb	./roms/Adventures of Lolo (Europe).zip
snes	Kunio no Oden (Japan)	100	0	snes	./roms/Japan/Kunio no Oden (Japan).zip
snes	Shin Nekketsu Kouha : Kunio-tachi no Banka (Japan) (Translated En)	100	1	snes	./roms/USA/Shin Nekketsu Kouha - Kunio-tachi no Banka (Japan) (Translated En).7z
snes	Super F1 Circus Gaiden (Japan)	100	1	snes	./roms/Japan/Super F1 Circus Gaiden (Japan).zip
snes	Super Famista 3 (Japan)	100	1	snes	./roms/Japan/Super Famista 3 (Japan).zip
snes	Super Kyuukyoku Harikiri Stadium (Japan)	100	1	snes	./roms/Japan/Super Kyuukyoku Harikiri Stadium (Japan).zip
snes	Super Kyuukyoku Harikiri Stadium 2 (Japan)	100	1	snes	./roms/Japan/Super Kyuukyoku Harikiri Stadium 2 (Japan).zip
snes	Super Real Mahjong PIV (Japan)	100	1	snes	./roms/Japan/Super Real Mahjong PIV (Japan).zip
snes	Super Real Mahjong PV Paradise : All-Star 4-nin Uchi (Japan)	100	1	snes	./roms/Japan/Super Real Mahjong PV Paradise - All-Star 4-nin Uchi (Japan).zip
snes	Super Tetris 3 (Japan) (En)	100	1	snes	./roms/Japan/Super Tetris 3 (Japan) (En).zip
snes	Super Trump Collection (Japan)	100	0	snes	./roms/Japan/Super Trump Collection (Japan).zip
snes	Super Trump Collection 2 (Japan)	100	0	snes	./roms/Japan/Super Trump Collection 2 (Japan).zip
snes	Downtown : Nekketsu Baseball Monogatari, Yakyuu de Shoubu da! Kunio-kun (Japan)	100	1	snes	./roms/Japan/Downtown - Nekketsu Baseball Monogatari - Yakyuu de Shoubu da! Kunio-kun (Japan).zip
wii	Metroid Prime: Trilogy (USA)	100	7988	wii	./roms/Metroid Prime - Trilogy (USA).wbfs
wii	Nitrobike (USA)	100	891	wii	./roms/Nitro Bike (USA).wbfs
wii	Resident Evil Archives: Resident Evil (USA)	100	3997	wii	./roms/Resident Evil Archives - Resident Evil (USA).wbfs
wii	Samurai Shodown Anthology (USA)	100	2789	wii	./roms/Samurai Shodown Anthology (USA).wbfs
wii	Tony Hawk's Proving Ground (USA)	100	2707	wii	./roms/Tony Hawk's Proving Ground (USA).wbfs
wii	Wing Island (USA)	100	210	wii	./roms/Wing Island (USA).wbfs
wii	Iron Man (USA)	100	1307	wii	./roms/Iron Man (USA).wbfs
wiiware	Cave Story (USA) (v258)	100	29	wiiware	./roms/Cave Story (USA) (v258).wad
wiiware	Defend Your Castle (USA)	100	24	wiiware	./roms/Defend Your Castle (USA).wad
wiiware	LostWinds : Winter of the Melodias (USA)	100	45	wiiware	./roms/LostWinds - Winter of the Melodias (USA).wad
wonderswancolor	Neo Cherry Master Color : Real Casino Series (World) (En,Ja)	100	0	ngpc	./roms/Neo Cherry Master Color - Real Casino Series (World) (En,Ja).zip
wonderswancolor	Wizardry Scenario 1 - Proving Grounds of the Mad O (Japan)	100	1	wswanc	./roms/Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan).zip
zxspectrum	La Abadía del Crimen (Spain)	100	0	zxspectrum	./roms/Abadia del Crimen, La (Spain).zip
zxspectrum	Starquake (Europe)	100	0	zxspectrum	./roms/Starquake (Europe).zip
zxspectrum	Tau Ceti - Special Edition (Europe)	100	0	zxspectrum	./roms/Tau Ceti - Special Edition (Europe).zip
zxspectrum	Boulder Dash II : Rockford's Revenge (Europe)	100	0	zxspectrum	./roms/Boulder Dash II - Rockford's Riot (Europe).zip
3do	Mad Dog II : The Lost Gold (USA)	95	210	3do	./roms/USA/Mad Dog II - the Lost Gold (USA).chd
3do	Starblade (USA)	95	210	3do	./roms/USA/StarBlade (USA).chd
3do	Killing Time (USA)	95	427	3do	./roms/USA/Killing Time (USA).chd
3do	Battlesport (USA)	95	311	3do	./roms/USA/BattleSport (USA).chd
amiga500	Antago	95	0	amiga500	./roms/Antago.zip
amiga500	Bob's Bad Day	95	1	amiga500	./roms/Bob's Bad Day.zip
amiga500	Deuteros : The Next Millennium	95	1	amiga500	./roms/Deuteros - The Next Millennium.zip
amiga500	Giganoid	95	0	amiga500	./roms/Giganoid.zip
amiga500	Kick Off	95	0	amiga500	./roms/Kick Off.zip
amiga500	Midwinter [EU]	95	0	amiga500	./roms/Midwinter [EU].zip
amiga500	Moonstone : A Hard Days Knight	95	2	amiga500	./roms/Moonstone  A Hard Days Knight.zip
amiga500	Out of this World	95	1	amiga500	./roms/Out of this World.zip
amiga500	P.P. Hammer and His Pneumatic Weapon	95	1	amiga500	./roms/P.P. Hammer and His Pneumatic Weapon.zip
amiga500	Pinball Fantasies	95	1	amiga500	./roms/Pinball Fantasies.zip
amiga500	Simon the Sorcerer [EU]	95	6	amiga500	./roms/Simon The Sorcerer [EU].zip
amiga500	SwitchBlade II	95	1	amiga500	./roms/SwitchBlade II.zip
amiga500	Turrican II: The Final Fight	95	1	amiga500	./roms/Turrican II  The Final Fight.zip
amiga500	Uridium 2 [EU]	95	1	amiga500	./roms/Uridium 2 [EU].zip
amiga500	Volfied	95	1	amiga500	./roms/Volfied.zip
amiga500	Xenon 2 : Megablast	95	1	amiga500	./roms/Xenon 2  Megablast.zip
amiga500	Agony	95	2	amiga500	./roms/Agony.zip
amiga500	A Question of Sport	95	0	amiga500	./roms/A Question of Sport.zip
amiga500	Cannon Fodder	95	2	amiga500	./roms/Cannon Fodder.zip
amiga500	Disposable Hero [EU]	95	2	amiga500	./roms/Disposable Hero [EU].zip
amiga500	Double Dragon	95	1	amiga500	./roms/Double Dragon.zip
amiga500	Dune II - The Battle for Arrakis	95	2	amiga500	./roms/Dune II - The Battle for Arrakis.zip
amstradcpc	Bruce Lee (E)	95	0	amstradcpc	./roms/Bruce Lee (E).zip
amstradcpc	Le 5ème Axe (E)	95	0	amstradcpc	./roms/Fifth Axis (E), The.zip
amstradcpc	Rick Dangerous II (E)	95	0	amstradcpc	./roms/Rick Dangerous II (E).zip
amstradcpc	R-Type (E)	95	0	amstradcpc	./roms/R-Type (E) - Disk 1B.zip
amstradcpc	Trivial Pursuit - Edition Genius (E)	95	0	amstradcpc	./roms/Trivial Pursuit - Genus Edition (E) - Disk 1B.zip
atari2600	Cakewalk (USA)	95	0	atari2600	./roms/Cakewalk (USA).zip
atari2600	The Official Frogger (USA)	95	0	atari2600	./roms/Official Frogger, The (USA).zip
c64	Miner 2049er (USA)	95	0	c64	./roms/Miner 2049'er (USA).zip
c64	Suspended (USA)	95	0	c64	./roms/Suspended (USA).zip
c64	Theatre Europe (Europe)	95	0	c64	./roms/Theatre Europe (Europe).zip
c64	They Stole a Million (Europe)	95	0	c64	./roms/They $tole a Million (Europe).zip
c64	Thing on a Spring (Europe)	95	0	c64	./roms/Thing on a Spring (Europe).zip
c64	Zoids : The Battle Begins (Europe)	95	0	c64	./roms/Zoids (Europe).zip
colecovision	Mr. Do!'s Castle (USA)	95	0	colecovision	./roms/Mr Do!'s Castle (USA).zip
colecovision	BC's Quest for Tires (USA, Europe)	95	0	colecovision	./roms/BC's Quest for Tires (USA, Europe).zip
dc	Resident Evil Code : Veronica (USA) (Disc 1)	95	721	dreamcast	./roms/Resident Evil Code - Veronica (USA) (Disc 1).chd
dc	Space Channel 5 : Part 2 (Japan)	95	823	dreamcast	./roms/Space Channel 5 Part 2 (Japan).chd
dc	Tony Hawk's Pro Skater 2 (USA)	95	799	dreamcast	./roms/Tony Hawk's Pro Skater 2 (USA).chd
dc	Dead or Alive 2 (USA)	95	319	dreamcast	./roms/Dead or Alive 2 (USA).chd
dc	Phantasy Star Online (USA)	95	720	dreamcast	./roms/Phantasy Star Online (USA).chd
famicom	Labyrinth (Japan) (Translated En)	95	0	famicom	./roms/Labyrinth - Maou no Meikyuu (Japan) (Translated En).zip
famicom	Super Mario Bros. 3 (Japan)	95	0	famicom	./roms/Super Mario Bros. 3 (Japan).zip
famicom	Fire Emblem : Ankoku Ryuu to Hikari no Tsurugi (Japan) (Translated En)	95	0	famicom	./roms/Fire Emblem (Japan) (Translated En).zip
gamegear	James Pond II : Codename RoboCod (USA)	95	0	gamegear	./roms/James Pond II - Codename RoboCod (USA).zip
gba	Droopy's Tennis Open (Europe)	95	2	gba	./roms/Droopy's Tennis Open (Europe).zip
gba	ESPN International Winter Sports 2002 (USA)	95	3	gba	./roms/ESPN International Winter Sports 2002 (USA).zip
gba	Mother 3 (Japan) (Translated En)	95	12	gba	./roms/Mother 3 (Japan) (Translated En).7z
gba	Zooo : Action Puzzle Game (Europe)	95	5	gba	./roms/Zooo (Europe).zip
gba	Beyblade : GRevolution (USA)	95	2	gba	./roms/Beyblade G-Revolution (USA).zip
genesish	Knuckles The Echidna In Sonic The Hedgehog	95	0	genesish	./roms/Knuckles the Echidna in Sonic the Hedgehog.zip
genesish	Sonic 1 and 2	95	1	genesish	./roms/Sonic 1 and 2.zip
genesish	Sonic 3 Complete	95	2	genesish	./roms/Sonic 3 Complete.zip
hikaru	Brave Firefighters : Real Life Heroes	95	56	hikaru	./roms/braveff.zip
intellivision	Happy Trails (World)	95	0	intellivision	./roms/Happy Trails (World).zip
intellivision	Motocross (World)	95	0	intellivision	./roms/Moto-Cross (World).zip
intellivision	U.s. Ski Team Skiing (World)	95	0	intellivision	./roms/U.S. Ski Team Skiing (World).zip
megadrive	Astérix and the Power of the Gods (Europe)	95	1	megadrive	./roms/Europe/Asterix and the Power of the Gods (Europe).7z
megadrive	Flashback (Japan)	95	1	megadrive	./roms/Japan/Flashback (Japan).zip
megadrive	Ys : Wanderers from Ys (Japan)	95	1	megadrive	./roms/Japan/Ys - Wanderers from Ys (Japan).zip
megadriveh	Knuckles The Echidna In Sonic The Hedgehog	95	1	megadriveh	./roms/Knuckles the Echidna in Sonic the Hedgehog.md
msx1	Metal Gear 2 - Solid Snake (Japan) (Translated En)	95	0	msx1	./roms/Metal Gear 2 - Solid Snake (Japan) (Translated En).zip
msx1	Road Fighter (Japan) (Alt 1)	95	0	msx1	./roms/Road Fighter (Japan) (Alt 1).zip
msx1	The Treasure of Usas (Japan, Europe)	95	0	msx1	./roms/Treasure of Usas, The (Japan, Europe).zip
msx2	Metal Gear 2 - Solid Snake (Japan)	95	0	msx2	./roms/Metal Gear 2 - Solid Snake (Japan).zip
msx2	The Treasure of Usas (Japan, Europe)	95	0	msx2	./roms/Treasure of Usas, The (Japan, Europe).zip
n64	Centre Court Tennis (Europe)	95	9	n64	./roms/USA/Centre Court Tennis (Europe).zip
n64	Vigilante 8 : 2nd Offense (USA)	95	11	n64	./roms/USA/Vigilante 8 - 2nd Offense (USA).zip
n64	WCW Mayhem (USA)	95	13	n64	./roms/USA/WCW Mayhem (USA).zip
n64	Ogre Battle 64 : Person of Lordly Caliber (USA)	95	33	n64	./roms/USA/Ogre Battle 64 - Person of Lordly Caliber (USA).7z
nds	Cookie Shop - Create Your Dream Shop (USA)	95	6	nds	./roms/Cookie Shop - Create Your Dream Shop (USA).7z
nds	Elvenland (Europe)	95	3	nds	./roms/Elvenland (Europe).zip
nds	Imagine Fashion Designer New York (USA)	95	65	nds	./roms/Imagine - Fashion Designer - New York (USA).7z
nds	InuYasha : Secret of the Divine Jewel (USA)	95	23	nds	./roms/InuYasha - Secret of the Divine Jewel (USA).7z
nds	Marvel Super Hero Squad - The Infinity Gauntlet (USA)	95	48	nds	./roms/Marvel Super Hero Squad - The Infinity Gauntlet (USA).zip
nds	Mega Man Zero Collection (USA)	95	44	nds	./roms/Mega Man Zero Collection (USA).zip
nds	New International Track & Field (USA)	95	23	nds	./roms/New International Track & Field (USA).7z
nds	Phoenix Wright - Ace Attorney - Trials and Tribulations (USA)	95	11	nds	./roms/Phoenix Wright - Ace Attorney - Trials and Tribulations (USA).7z
nds	Power Play Pool (USA)	95	2	nds	./roms/Power Play Pool (USA).7z
nds	Retro Game Challenge (USA)	95	7	nds	./roms/Retro Game Challenge (USA).7z
nds	Treasure World (USA)	95	14	nds	./roms/Treasure World (USA).7z
nes	Chris Evert & Ivan Lendl in Top Players' Tennis (USA)	95	0	nes	./roms/Top Players' Tennis Featuring Chris Evert & Ivan Lendl (USA).zip
nesh	Super Mario Bros. 3	95	0	nesh	./roms/Super Mario Bros 3 - Chaos Control (X).zip
ngc	Conflict: Desert Storm II : Back to Baghdad (USA)	95	1063	gamecube	./roms/Conflict - Desert Storm II - Back to Baghdad (USA).rvz
ngc	The Legend of Zelda Collection (USA)	95	943	gamecube	./roms/Legend of Zelda, The - Collector's Edition (USA).rvz
ngc	Madden Nfl 2005 (USA)	95	1059	gamecube	./roms/Madden NFL 2005 (USA).rvz
ngc	Medabots : Infinity (USA)	95	288	gamecube	./roms/Medabots Infinity (USA).rvz
ngc	NHL Hitz Pro (USA)	95	1000	gamecube	./roms/NHL Hitz Pro (USA).rvz
ngc	Harvest Moon: Magical Melody (USA)	95	80	gamecube	./roms/Harvest Moon - Magical Melody (USA).rvz
ngc	Madden Nfl 07 (USA)	95	1046	gamecube	./roms/Madden NFL 07 (USA).rvz
ngc	Nba Street Vol.2 (USA)	95	806	gamecube	./roms/NBA Street Vol. 2 (USA).rvz
ps2	ESPN NHL Hockey (USA)	95	1361	ps2	./roms/USA/ESPN NHL Hockey (USA).chd
ps2	Madden NFL 2004 (USA)	95	2995	ps2	./roms/USA/Madden NFL 2004 (USA).chd
ps2	Madden NFL 2005 (USA)	95	3253	ps2	./roms/USA/Madden NFL 2005 (USA).chd
ps2	MTX Mototrax (USA)	95	3190	ps2	./roms/USA/MTX Mototrax (USA).chd
ps2	NHL 2005 (USA)	95	3272	ps2	./roms/USA/NHL 2005 (USA).chd
ps2	NHL 2K7 (USA)	95	2671	ps2	./roms/USA/NHL 2K7 (USA).chd
ps2	ESPN NFL Football (USA)	95	3071	ps2	./roms/USA/ESPN NFL Football (USA).chd
ps2	Full Spectrum Warrior : Ten Hammers (USA)	95	2056	ps2	./roms/USA/Full Spectrum Warrior - Ten Hammers (USA).chd
ps2	Grand Theft Auto : San Andreas (USA)	95	2710	ps2	./roms/USA/Grand Theft Auto - San Andreas (USA).chd
ps2	Madden NFL 08 (USA)	95	1657	ps2	./roms/USA/Madden NFL 08 (USA).chd
ps2	Midnight Club 3 : DUB Edition Remix (USA)	95	3889	ps2	./roms/USA/Midnight Club 3 - DUB Edition Remix (USA).chd
ps2	NHL Hitz Pro (USA)	95	1500	ps2	./roms/USA/NHL Hitz Pro (USA).chd
ps2	TimeSplitters : Future Perfect (USA)	95	3041	ps2	./roms/USA/TimeSplitters - Future Perfect (USA).chd
ps3	Uncharted 2 : Among Thieves	95	0	ps3	./roms/Uncharted 2 - Among Thieves.ps3
psp	Activision Hits Remixed (USA)	95	204	psp	./roms/Activision Hits Remixed (USA).cso
psp	Armored Core : Silent Line Portable (USA)	95	323	psp	./roms/Armored Core - Silent Line Portable (USA).cso
psp	Crush (USA)	95	325	psp	./roms/Crush (USA).cso
psp	Knights in the Nightmare (USA)	95	314	psp	./roms/Knights in the Nightmare (USA).cso
psp	NBA 07 (USA)	95	510	psp	./roms/NBA 07 (USA).cso
psp	NBA 09 : The Inside (USA)	95	645	psp	./roms/NBA 09 - The Inside (USA).cso
psp	Pinball Hall of Fame : The Williams Collection (USA)	95	285	psp	./roms/Pinball Hall of Fame - The Williams Collection (USA).cso
psp	PixelJunk Monsters Deluxe (USA)	95	105	psp	./roms/Pixel Junk Monsters Deluxe (USA).cso
psp	Syphon Filter : Combat Ops (USA)	95	70	psp	./roms/Syphon Filter - Combat Ops (USA).cso
psp	Test Drive Unlimited (USA)	95	1006	psp	./roms/Test Drive Unlimited (USA).cso
pspminis	Fieldrunners (USA)	95	28	pspminis	./roms/Fieldrunners (USA).cso
pspminis	Vector Td (USA)	95	12	pspminis	./roms/Vector Td (USA).cso
psx	Brave Fencer Musashi (USA)	95	211	psx	./roms/Brave Fencer Musashi (USA).chd
psx	Break Out (USA)	95	399	psx	./roms/Break Out (USA).chd
psx	Broken Sword : The Shadow of the Templars (USA)	95	358	psx	./roms/Broken Sword - The Shadow of the Templars (USA).chd
psx	Bust A Groove 2 (USA)	95	260	psx	./roms/Bust A Groove 2 (USA).chd
psx	Colony Wars : Red Sun (USA)	95	384	psx	./roms/Colony Wars III - Red Sun (USA).chd
psx	Darkstalkers : The Night Warriors (USA)	95	305	psx	./roms/Darkstalkers - The Night Warriors (USA).chd
psx	Little Big Adventure (Europe)	95	357	psx	./roms/Little Big Adventure (Europe).chd
psx	Megaman : Battle & Chase (Europe)	95	172	psx	./roms/Megaman - Battle & Chase (Europe).chd
psx	NASCAR 98 (USA)	95	304	psx	./roms/NASCAR 98 (USA).chd
psx	The Note (Europe)	95	194	psx	./roms/Note, The (Europe).chd
psx	Rage Racer (USA)	95	496	psx	./roms/Rage Racer (USA).chd
psx	Rally Cross (USA)	95	350	psx	./roms/Rally Cross (USA).chd
psx	Ten Pin Alley (USA)	95	325	psx	./roms/Ten Pin Alley (USA).chd
psx	X-COM : UFO Defense (USA)	95	308	psx	./roms/X-Com - UFO Defense (USA).chd
psx	Akumajo Dracula X: Gekka no Yasokyoku (Japan) (Translated En)	95	375	psx	./roms/Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Translated En).chd
saturn	Mr. Bones (USA) (Disc 2)	95	342	saturn	./roms/Mr. Bones (USA) (Disc 2).chd
saturn	Rayman (USA)	95	311	saturn	./roms/Rayman (USA).chd
saturn	Sega Worldwide Soccer '97 (USA)	95	359	saturn	./roms/Sega Worldwide Soccer '97 (USA).chd
saturn	UEFA Euro 96 : England (Europe)	95	187	saturn	./roms/UEFA Euro 96 England (Europe).chd
saturn	Vampire Savior (Japan)	95	413	saturn	./roms/Vampire Savior (Japan).chd
saturn	Virtua Fighter Kids (USA)	95	362	saturn	./roms/Virtua Fighter Kids (USA).chd
saturn	World League Soccer '98 (Europe)	95	312	saturn	./roms/World League Soccer '98 (Europe).chd
saturn	World Series Baseball 98 (USA)	95	270	saturn	./roms/World Series Baseball '98 (USA).chd
saturn	Crimewave (USA)	95	41	saturn	./roms/Crime Wave (USA).chd
saturn	Dark Savior (USA)	95	186	saturn	./roms/Dark Savior (USA).chd
sega32x	Star Wars Arcade (USA)	95	2	sega32x	./roms/Star Wars Arcade (USA).zip
segacd	Ecco : The Tides of Time (USA)	95	602	segacd	./roms/Ecco - The Tides of Time (USA).chd
segacd	Flashback : The Quest for Identity (USA)	95	439	segacd	./roms/Flashback - The Quest For Identity (USA).chd
sfc	Dragon Quest III : Soshite Densetsu e... (Japan) (Translated En)	95	2	sfc	./roms/Dragon Quest III - Soshite Densetsu e... (Japan) (Translated En).7z
sfc	Final Fantasy VI (Japan) (Translated En)	95	2	sfc	./roms/Final Fantasy VI (Japan) (Translated En).zip
sfc	Mazinger Z (Japan)	95	1	sfc	./roms/Mazinger Z (Japan).7z
sfc	Puzzle'n Desu! (Japan)	95	0	sfc	./roms/Puzzle'n Desu! (Japan).7z
sfc	Super Puyo Puyo (Japan)	95	1	sfc	./roms/Super Puyo Puyo (Japan).7z
sfc	Tetris Battle Gaiden (Japan)	95	1	sfc	./roms/Tetris Battle Gaiden (Japan).7z
sgb	The Legend of Zelda : Link's Awakening (USA, Europe) (Rev B)	95	0	sgb	./roms/Legend of Zelda, The - Link's Awakening DX (USA, Europe) (Rev B).zip
snes	Super Aleste (Japan)	95	1	snes	./roms/Japan/Super Aleste (Japan).zip
snes	Final Fantasy VI (Japan) (Translated En)	95	2	snes	./roms/USA/Final Fantasy VI (Japan) (Translated En).7z
snes	Fire Emblem : Seisen no Keifu (Japan)	95	3	snes	./roms/Japan/Fire Emblem - Seisen no Keifu (Japan).zip
snes	Mazinger Z (Japan)	95	1	snes	./roms/Japan/Mazinger Z (Japan).zip
snes	Oraga Land Shusai : Best Farmer Shuukakusai (Japan)	95	0	snes	./roms/Japan/Oraga Land Shusai - Best Farmer Shuukakusai (Japan).zip
snes	Puzzle'n Desu! (Japan)	95	0	snes	./roms/Japan/Puzzle'n Desu! (Japan).zip
snes	Super Puyo Puyo (Japan)	95	1	snes	./roms/Japan/Super Puyo Puyo (Japan).zip
snes	Tetris Battle Gaiden (Japan)	95	1	snes	./roms/Japan/Tetris Battle Gaiden (Japan).zip
snes	Wakuwaku Ski Wonder Spur (Japan)	95	1	snes	./roms/Japan/Wakuwaku Ski Wonder Spur (Japan).zip
snes	Donkey Kong Country 2 : Diddy's Kong Quest (Europe)	95	3	snes	./roms/Europe/Donkey Kong Country 2 - Diddy's Kong Quest (Europe).zip
snes	Kirby Super Star (USA)	95	3	snes	./roms/USA/Kirby Super Star (USA).zip
snes	Kirby's Fun Pak (Europe)	95	3	snes	./roms/Europe/Kirby's Fun Pak (Europe).zip
snes	Dragon Quest III : Soshite Densetsu e... (Japan)	95	2	snes	./roms/Japan/Dragon Quest III - Soshite Densetsu e... (Japan).zip
snes-msu	Dragon Quest 3 (Japan) (MSU1) [T-En] [n]	95	612	snes-msu	./roms/Dragon Quest III (Japan) (MSU1) [T-En] [n].zip
snes-msu	The Legend of Zelda : A Link to the Past (USA) (MSU1)	95	543	snes-msu	./roms/Legend of Zelda, The - A Link to the Past (USA) (MSU1).zip
snes-msu	The Legend of Zelda : A Link to the Past DX (USA) (MSU1)	95	1753	snes-msu	./roms/Legend of Zelda, The - A Link to the Past Deluxe (USA) (MSU1).zip
switch	Persona 5: Royal	95	27980	switch	./roms/Persona 5 Royal.xci
switch	Super Mario Odyssey	95	6111	switch	./roms/Super Mario Odyssey (World).xci
switch	The Legend of Zelda: Breath of the Wild	95	16863	switch	./roms/The Legend of Zelda Breath of the Wild.xci
switch	The Legend of Zelda : Tears of the Kingdom	95	17537	switch	./roms/TOTK.xci
switch	Undertale	95	181	switch	./roms/Undertale.nsp
wii	Angry Birds Trilogy (USA)	95	805	wii	./roms/Angry Birds Trilogy (USA).wbfs
wii	The Dog Island (USA)	95	656	wii	./roms/Dog Island, The (USA).wbfs
wii	Kirby's Dream Collection : Special Edition (USA)	95	1911	wii	./roms/Kirby's Dream Collection - Special Edition (USA).wbfs
wii	The Legend of Zelda : Twilight Princess (USA)	95	1158	wii	./roms/Legend of Zelda, The - Twilight Princess (USA).wbfs
