what	file	became
renamed	megadrive/Honoo no Toukyuuji Dodge Danpei (Japan).zip	megadrive/信長の野望・覇王伝 (Japan).zip
renamed	megadrive/Mighty Morphin Power Rangers (USA).zip	megadrive/Mighty Morphin Power Rangers (Europe).zip
renamed	megadrive/Pyramid Magic (Japan).zip	megadrive/Party Quiz Mega Q (Japan).zip
renamed	megadrive/Mystic Defender (USA, Europe).zip	megadrive/Mystic Defender (USA, Europe) (En,Ja) (Rev A).zip
renamed	megadrive/Rocket Knight Adventures (USA).zip	megadrive/Rocket Knight Adventures (Europe).zip
renamed	megadrive/Bram Stoker's Dracula (USA).zip	megadrive/Bram Stoker's Dracula (Europe).zip
renamed	megadrive/Aero the Acro-Bat 2 (USA).zip	megadrive/Aero the Acro-Bat 2 (Europe).zip
renamed	megadrive/Scrabble (Europe) (Proto).zip	megadrive/Stargate (USA, Europe, Beta).zip
renamed	megadrive/Pit-Fighter (World).zip	megadrive/Pit-Fighter (World) (En,Ja).zip
renamed	megadrive/Crayon Shin-chan - Arashi o Yobu Enji (Japan).zip	megadrive/三国志列伝 (Japan).zip
renamed	megadrive/Lemmings (Japan, USA).zip	megadrive/Lemmings (Japan, Korea) (En).zip
renamed	megadrive/Darwin 4081 (Japan, Korea).zip	megadrive/Darwin 4081 (Japan, Korea) (En).zip
renamed	megadrive/Syndicate (USA, Europe).zip	megadrive/Syndicate (USA, Europe) (En,Fr,De).zip
renamed	megadrive/Slap Fight MD (Japan).zip	megadrive/Ａ列車で行こうＭＤ (Japan).zip
renamed	megadrive/FIFA Soccer 96 (USA, Europe).zip	megadrive/FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es,It,Sv).zip
renamed	megadrive/Wani Wani World (Japan).zip	megadrive/Slime World (Japan, En).zip
renamed	megadrive/Tecmo Super NBA Basketball (USA).zip	megadrive/Tecmo Super NBA Basketball (Japan) (En).zip
renamed	megadrive/Spider-Man and Venom - Maximum Carnage (World).zip	megadrive/Spider-Man - Venom - Maximum Carnage (World).zip
renamed	megadrive/Pepenga Pengo (Japan).zip	megadrive/Pepenga Pengo (Japan) (En).zip
renamed	megadrive/Tiny Toon Adventures 3 (China) (Unl).zip	megadrive/Tiny Toon Adventures (Korea) (En).zip
renamed	megadrive/DecapAttack (USA, Europe).zip	megadrive/DEcapAttack (USA, Europe, Korea) (En).zip
renamed	megadrive/Paddle Fighter (Japan).zip	megadrive/Crude Buster (Japan, En).zip
renamed	megadrive/Joshua & The Battle of Jericho (USA) (Unl).zip	megadrive/Joshua & the Battle of Jericho (USA).zip
renamed	megadrive/Legend of Wukong (World) (Unl).zip	megadrive/Legend of Wukong (USA, Europe) (Super Fighter Team).zip
renamed	megadrive/Gunstar Heroes (USA).zip	megadrive/Gunstar Heroes (Japan).zip
renamed	megadrive/Klax (USA, Europe).zip	megadrive/Klax (USA, Europe) (Tengen).zip
renamed	megadrive/R.B.I. Baseball 4 (USA).zip	megadrive/R.B.I. Baseball 4 (Japan) (En,Ja).zip
renamed	megadrive/Fighting Masters (USA).zip	megadrive/Fighting Masters (Japan, Korea) (En).zip
renamed	megadrive/Uwol - Quest For Money (World) (Unl).zip	megadrive/UWOL - Quest for Money (World) (v1.1).zip
renamed	megadrive/Fatal Fury 2 (USA, Korea).zip	megadrive/Fatal Fury 2 (USA, Korea) (En).zip
renamed	megadrive/Olympic Gold (USA).zip	megadrive/Olympic Gold (Japan, USA) (En,Fr,De,Es,It,Nl,Pt,Sv).zip
renamed	megadrive/WWF WrestleMania - The Arcade Game (USA, Europe).zip	megadrive/WWF WrestleMania - The Arcade Game (USA, Europe) (Beta).zip
renamed	megadrive/Fatal Rewind (USA, Europe).zip	megadrive/Fatal Rewind (USA, Europe) (Rev 1).zip
renamed	megadrive/Puzzle & Action - Tanto-R (Japan).zip	megadrive/空牙 VAPOR TRAIL (Japan).zip
renamed	megadrive/Mighty Morphin Power Rangers - The Movie (USA).zip	megadrive/Mighty Morphin Power Rangers - The Movie (Europe).zip
renamed	megadrive/Wonder Boy III - Monster Lair (Japan, Europe).zip	megadrive/Wonder Boy III - Monster Lair (Japan, Europe) (En).zip
