what	file	became
renamed	gamegear/Majors Pro Baseball, The (USA).gg	gamegear/Majors, The - Pro Baseball (USA).gg
renamed	gamegear/OutRun (USA, Europe).gg	gamegear/OutRun (Europe, Brazil) (En).gg
renamed	gamegear/CJ Elephant Fugitive (Europe).gg	gamegear/CJ Elephant Fugitive (USA, Europe).gg
renamed	gamegear/Jang Pung II (Korea) (Unl).gg	gamegear/Jang Pung II (Korea) (En).gg
renamed	gamegear/Streets of Rage II (World).gg	gamegear/Streets of Rage 2 (World).gg
renamed	gamegear/Batter Up (USA, Europe).gg	gamegear/Batter Up (USA).gg
renamed	gamegear/Bubble Bobble (USA, Europe).gg	gamegear/Bubble Bobble (USA).gg
renamed	gamegear/World Cup USA 94 (USA, Europe).gg	gamegear/World Cup USA 94 (USA, Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv).gg
renamed	gamegear/RoboCop versus The Terminator (USA, Europe).gg	gamegear/Terminator, The (USA, Europe).gg
renamed	nes/Might and Magic (U).nes	nes/Might & Magic - Secret of the Inner Sanctum (USA).nes
renamed	nes/Freedom Force (U) [!].nes	nes/Freedom Force (USA).nes
renamed	nes/Peek-A-Boo Poker (UE) [!].nes	nes/Peek-A-Boo Poker (USA).nes
renamed	nes/Marvel's X-Men (U) [a1].nes	nes/Uncanny X-Men, The (USA) (Alt).nes
renamed	nes/Chip 'n Dale Rescue Rangers (U) [!].nes	nes/Chip 'n Dale - Rescue Rangers (USA).nes
renamed	nes/Exodus (U) (V4.0) [!].nes	nes/Exodus - Journey to the Promised Land (USA) (v4.0).nes
renamed	nes/Bard's Tale - Tales of the Unknown, The (U) [!].nes	nes/Bard's Tale, The (USA).nes
renamed	nes/Swamp Thing (U) [!].nes	nes/Swamp Thing (USA).nes
renamed	nes/F-117a Stealth Fighter (U) [!].nes	nes/F-117A Stealth Fighter (USA).nes
renamed	nes/Marvel's X-Men (U).nes	nes/Uncanny X-Men, The (USA).nes
renamed	nes/Super Spike V'Ball - Nintendo World Cup (U) [!].nes	nes/Super Spike V'Ball + Nintendo World Cup (USA).nes
renamed	nes/T&C Surf Design (U).nes	nes/Town & Country Surf Designs - Wood & Water Rage (USA).nes
renamed	nes/Bucky O'Hare (U) [!].nes	nes/Bucky O'Hare (USA).nes
renamed	nes/Beetlejuice (U) [!].nes	nes/Beetlejuice (USA).nes
renamed	nes/Tetris (U) [!].nes	nes/Tetris (USA).nes
renamed	nes/Gargoyle's Quest 2 - The Demon Darkness (U).nes	nes/Gargoyle's Quest II (USA).nes
renamed	nes/Home Alone (U) [!].nes	nes/Home Alone (USA) (Rev 1).nes
renamed	nes/Arkista's Ring (U) [!].nes	nes/Arkista's Ring (USA).nes
renamed	nes/World Champ (U) [!].nes	nes/World Champ (USA).nes
renamed	nes/Nintendo World Championships 1990 (U) [!].nes	nes/Nintendo World Championships 1990 (USA) (Competition Cart).nes
renamed	nes/Hero Quest (U) (Prototype) [!].nes	nes/HeroQuest (USA) (Proto).nes
renamed	nes/Bubble Bath Babes (UE) [!].nes	nes/Bubble Bath Babes (USA).nes
renamed	nes/Wizards & Warriors 3 (U).nes	nes/Wizards & Warriors III - Kuros... Visions of Power (USA).nes
renamed	nes/Ferrari - Grand Prix Challenge (U) [!].nes	nes/Ferrari Grand Prix Challenge (USA).nes
renamed	nes/Free Fall (U) (Prototype) [!].nes	nes/Free Fall (USA) (Proto 2).nes
renamed	nes/Raid 2020 (U) [!].nes	nes/Raid 2020 (USA).nes
renamed	nes/Romance of the Three Kingdoms 2 (U) [!].nes	nes/Romance of the Three Kingdoms II (USA).nes
renamed	nes/Formula One Built To Win (U) [!].nes	nes/Formula One - Built to Win (USA).nes
renamed	snes/Rex Ronan - Experimental Surgeon (USA).smc	snes/Rex Ronan - Experimental Surgeon (USA) (En,Es).smc
renamed	snes/Spawn (USA).smc	snes/Todd McFarlane's Spawn - The Video Game (USA).smc
renamed	snes/Lucky Luke (Europe).sfc	snes/Lucky Luke (Europe) (En,Fr,De,Es).sfc
renamed	snes/GunForce - Battle Fire Engulfed Terror Island (USA).smc	snes/GunForce (USA).smc
renamed	snes/Super Copa (Brazil).sfc	snes/Super Copa (USA) (Es,Pt).sfc
renamed	snes/Kick Off 3 - European Challenge (Europe).sfc	snes/Kick Off 3 - European Challenge (Europe) (En,Fr,De,Es,It).sfc
renamed	snes/FIFA Soccer 96 (USA).smc	snes/FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv).smc
renamed	snes/Stunt Race FX (USA).smc	snes/Stunt Race FX (USA) (Rev 1).smc
renamed	snes/Killer Instinct (USA).smc	snes/Killer Instinct (USA) (Rev 1).smc
renamed	snes/Space Invaders - The Original Game (USA).smc	snes/Space Invaders (USA).smc
renamed	snes/Donkey Kong Country 3-Dixie K Double Trouble(U)[!].zip	snes/Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr).zip
renamed	snes/Fighter's History (USA).smc	snes/Fighter's History (USA) (Rev 1).smc
renamed	snes/Super Battletank - War in the Gulf (USA).smc	snes/Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1).smc
renamed	snes/Thomas the Tank Engine and Friends (USA).smc	snes/Thomas the Tank Engine & Friends (USA).smc
renamed	snes/King of Dragons, The (USA).smc	snes/King of Dragons (USA).smc
renamed	snes/Super Bomberman 5 Gold Cartridge (J) [!].zip	snes/Super Bomberman 5 - Caravan Event Ban (Japan).zip
renamed	snes/Legend (USA).smc	snes/Legend (USA) (Beta).smc
renamed	snes/Home Improvement (USA).smc	snes/Home Improvement - Power Tool Pursuit! (USA).smc
renamed	snes/Smurfs Travel the World, The (Europe).sfc	snes/Smurfs, The (Europe) (En,Fr,De,Es,It).sfc
renamed	snes/R.P.M. Racing (USA).smc	snes/Radical Psycho Machine Racing (USA).smc
renamed	snes/Speed Racer in My Most Dangerous Adventures (USA).smc	snes/Speed Racer (USA).smc
renamed	snes/Might and Magic II - Gates to Another World (Europe).sfc	snes/Might and Magic II (Europe).sfc
renamed	snes/Mega Man X (USA).smc	snes/Mega Man X (USA) (Rev 1).smc
renamed	snes/Final Fantasy - Mystic Quest (USA).smc	snes/Final Fantasy - Mystic Quest (USA) (Rev 1).smc
renamed	snes/Sailor Moon (France).smc	snes/Sailormoon (France).smc
renamed	snes/Spirou (Europe).sfc	snes/Spirou (Europe) (En,Fr,De,Es).sfc
renamed	snes/Kirby's Dream Land 3 (U).zip	snes/Kirby's Dream Land 3 (USA).zip
renamed	snes/Flintstones, The (USA).smc	snes/Flintstones, The (USA) (En,Fr,De,Es,It).smc
renamed	snes/Jammit (USA).smc	snes/Street Sports - Jammit (USA).smc
renamed	snes/Donkey Kong Country (U) (V1.2) [!].zip	snes/Donkey Kong Country (USA) (Rev 2).zip
renamed	snes/Flashback - The Quest for Identity (USA).smc	snes/Flashback - The Quest for Identity (USA) (En,Fr,De).smc
renamed	snes/Super Buster Bros. (USA).smc	snes/Super Buster Bros. (USA) (Rev 1).smc
renamed	snes/Ren & Stimpy Show, The - Buckeroos! (USA).smc	snes/Ren & Stimpy Show, The - Buckeroo$! (USA).smc
renamed	snes/Monopoly (USA).smc	snes/Monopoly (USA) (Rev 1).smc
renamed	snes/Lemmings (USA).smc	snes/Lemmings (USA) (Rev 1).smc
renamed	snes/Spider-Man & Venom - Separation Anxiety (USA).smc	snes/Venom - Spider-Man - Separation Anxiety (USA).smc
renamed	snes/Shadow, The (USA) (Proto).smc	snes/Shadow, The (USA) (Proto 2).smc
renamed	snes/Mortal Kombat II (USA).smc	snes/Mortal Kombat II (USA) (Rev 1).smc
renamed	snes/Hit the Ice (USA).smc	snes/Hit the Ice - VHL - The Official Video Hockey League (USA).smc
renamed	snes/International Superstar Soccer (Europe).smc	snes/International Superstar Soccer (USA).smc
renamed	snes/Michael Andretti's IndyCar Challenge (USA).smc	snes/Michael Andretti's Indy Car Challenge (USA).smc
renamed	snes/Super Boss Gaiden (J) (V1.2).sfc	snes/Super Boss Gaiden (World) (v1.2).sfc
renamed	snes/Super Conflict - The Mideast (USA).smc	snes/Super Conflict (USA).smc
renamed	snes/Super Star Wars - Return of the Jedi (USA).smc	snes/Super Star Wars - Return of the Jedi (USA) (Rev 1).smc
renamed	snes/Super Metroid.zip	snes/Super Metroid (Japan, USA) (En,Ja).zip
renamed	snes/Addams Family Values (USA).smc	snes/Addams Family Values (USA) (En,Fr,De).smc
renamed	snes/George Foreman's KO Boxing (USA).smc	snes/George Foreman's KO Boxing (USA) (Rev 1).smc
renamed	snes/Road Riot 4WD (USA).smc	snes/Road Riot 4WD (USA) (Beta).smc
renamed	snes/Mega lo Mania (Europe).sfc	snes/Mega-lo-Mania (Europe) (En,Fr,De).sfc
renamed	snes/Kablooey (USA).smc	snes/Ka-blooey (USA).smc
renamed	snes/Prehistorik Man (USA).smc	snes/Prehistorik Man (USA) (En,Fr,Es).smc
renamed	snes/Fire Striker (USA).smc	snes/FireStriker (USA).smc
renamed	snes/Krusty's Super Fun House (USA).smc	snes/Krusty's Super Fun House (USA) (Rev 1).smc
renamed	snes/Hook (USA).smc	snes/Hook (USA) (Beta).smc
renamed	snes/FIFA 98 - Road to World Cup (Europe).sfc	snes/FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv) (A8FE).sfc
renamed	snes/R-Type III - The Third Lightning (USA).smc	snes/R-Type III (USA).smc
renamed	snes/Phalanx - The Enforce Fighter A-144 (USA).smc	snes/Phalanx (USA).smc
renamed	snes/Jurassic Park (USA).smc	snes/Jurassic Park (USA) (Rev 1).smc
renamed	snes/Spider-Man and the X-Men - Arcade's Revenge (USA).smc	snes/Spider-Man - X-Men - Arcade's Revenge (USA).smc
renamed	snes/Sink or Swim (USA).smc	snes/S.O.S - Sink or Swim (USA).smc
renamed	snes/Musya (USA).smc	snes/Musya - The Classic Japanese Tale of Horror (USA).smc
renamed	snes/Time Slip (USA).sfc	snes/Timeslip (USA).sfc
renamed	snes/Power Drive (Europe).smc	snes/Power Drive (USA) (En,Fr,De,Es,Pt) (Proto).smc
renamed	snes/SimCity 2000 (USA).smc	snes/SimCity 2000 - The Ultimate City Simulator (USA).smc
renamed	snes/Sports Illustrated Championship Football & Baseball (USA).smc	snes/Sports Illustrated - Championship Football & Baseball (USA) (Beta 2).smc
renamed	snes/Final Fantasy II (USA).smc	snes/Final Fantasy II (USA) (Rev 1).smc
renamed	snes/Mr. Nutz (USA).smc	snes/Mr. Nutz (USA) (En,Fr).smc
renamed	snes/Tetris Attack (USA).zip	snes/Tetris Attack (USA) (En,Ja).zip
renamed	snes/College Football USA '97 - The Road to New Orleans (USA).smc	snes/College Football USA 97 (USA).smc
renamed	snes/Sporting News Power Baseball, The (USA).smc	snes/Sporting News, The - Baseball (USA).smc
renamed	snes/Super Mario World (U) [!].smc	snes/Super Mario World (USA).smc
renamed	snes/Firemen, The (Europe).sfc	snes/Firemen, The (Europe) (En,Fr,De).sfc
renamed	snes/SimAnt (USA).sfc	snes/SimAnt - The Electronic Ant Colony (USA).sfc
renamed	snes/FIFA Soccer 97 - Gold Edition (USA).smc	snes/FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv).smc
renamed	snes/Street Hockey '95 (USA).smc	snes/Street Sports - Street Hockey '95 (USA).smc
renamed	snes/John Madden Football '93 (USA).smc	snes/John Madden Football '93 (USA) (Rev 1).smc
renamed	snes/Packy & Marlon (USA).smc	snes/Packy & Marlon (USA) (En,Fr,Es).smc
renamed	snes/Jurassic Park II - The Chaos Continues (USA).smc	snes/Jurassic Park Part 2 - The Chaos Continues (USA) (En,Fr,De,It).smc
renamed	snes/Prince of Persia 2 - The Shadow & The Flame (USA).smc	snes/Prince of Persia 2 (USA).smc
renamed	snes/Marko's Magic Football (Europe).sfc	snes/Marko's Magic Football (Europe) (En,Fr,De,Es).sfc
renamed	snes/Theme Park (Europe).sfc	snes/Theme Park (Europe) (En,Fr,De).sfc
renamed	snes/Speedy Gonzales - Los Gatos Bandidos (USA).smc	snes/Speedy Gonzales - Los Gatos Bandidos (USA) (Rev 1).smc
renamed	snes/Marvel Super Heroes - War of the Gems (USA).smc	snes/Marvel Super Heroes in War of the Gems (USA).smc
renamed	snes/Super Mario Kart (U) [!].zip	snes/Super Mario Kart (USA).zip
renamed	snes/Super Star Wars - The Empire Strikes Back (USA).smc	snes/Super Star Wars - The Empire Strikes Back (USA) (Rev 1).smc
renamed	snes/Rap Jam - Volume One (USA).smc	snes/RapJam - Volume One (USA) (En,Fr,Es).smc
renamed	sfc/Aryol (Japan).7z	sfc/Ugoku E Ver. 2.0 - Aryol (Japan) (En,Ja).7z
renamed	sfc/Rockman 7 - Shukumei no Taiketsu! (Japan) (Translated En).zip	sfc/Rockman 7 - Shukumei no Taiketsu! (Japan).zip
renamed	sfc/Panel de Pon (Japan) (Translated En).zip	sfc/Panel de Pon (Japan).zip
renamed	sfc/Super Puyo Puyo Tsuu (Japan) (Translated En).zip	sfc/Super Puyo Puyo Tsuu (Japan).zip
renamed	sfc/Amazing Spider-Man, The - Lethal Foes (Japan) (Translated En).7z	sfc/Amazing Spider-Man, The - Lethal Foes (Japan).7z
renamed	sfc/Ancient Magic - Bazoe! Mahou Sekai (Japan) (Translated En).7z	sfc/Ancient Magic - Bazoe! Mahou Sekai (Japan).7z
renamed	sfc/Columns (Japan).7z	sfc/Columns (Japan) (NP).7z
renamed	sfc/Ryuuki Heidan Danzarb (Japan) (Translated En).zip	sfc/Ryuukiheidan Dunzarv (Japan).zip
renamed	sfc/Acrobat Mission (Japan).7z	sfc/Acrobat Mission (Japan) (En).7z
renamed	sfc/Kikou Keisatsu Metal Jack (Japan).zip	sfc/Armored Police - Metal Jack (Japan).zip
renamed	sfc/Jelly Boy 2 (Japan) (Proto) (Translated En).7z	sfc/Jelly Boy 2 (Japan) (Proto).7z
renamed	sfc/Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan) (Translated En).7z	sfc/Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan).7z
renamed	sfc/Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan) (Translated En).7z	sfc/Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1).7z
renamed	sfc/Masters - Harukanaru Augusta 2 (Japan).zip	sfc/Harukanaru Augusta 2 - Masters (Japan).zip
renamed	sfc/Oekaki Logic 2 (Japan).7z	sfc/Oekaki Logic 2 (Japan) (NP).7z
renamed	sfc/Clockwerx (Japan) (Translated En).zip	sfc/ClockWerx (Japan).zip
renamed	sfc/Ring ni Kakero (Japan).7z	sfc/Ring ni Kakero (Japan) (NP).7z
renamed	sfc/Ochan no Oekaki Logic (Japan).7z	sfc/Ou-chan no Oekaki Logic (Japan).7z
renamed	sfc/Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (Japan).7z	sfc/Jikkyou Powerful Pro Yakyuu - Basic '98 (Japan).7z
renamed	sfc/Super Dunk Shot (Japan).zip	sfc/Super Dunk Shot (Japan) (En).zip
renamed	sfc/Oekaki Logic (Japan).7z	sfc/Oekaki Logic (Japan) (NP).7z
renamed	sfc/Super Family Gelaende (Japan).7z	sfc/Super Family Gelaende (Japan) (NP).7z
renamed	sfc/Masters New - Harukanaru Augusta 3 (Japan).zip	sfc/Harukanaru Augusta 3 - Masters New (Japan).zip
renamed	sfc/Holy Umbrella - Dondera no Mubou!! (Japan) (Translated En).7z	sfc/Holy Umbrella - Dondera no Mubou!! (Japan).7z
renamed	sfc/Power Lode Runner (Japan).7z	sfc/Power Lode Runner (Japan) (NP).7z
renamed	sfc/Human Grand Prix IV - F1 Dream Battle (Japan).7z	sfc/Human Grand Prix IV - F1 Dream Battle (Japan) (En).7z
renamed	sfc/From TV Animation Slam Dunk - Dream Team - Shuueisha Limited (Japan).7z	sfc/From TV Animation Slam Dunk - Shuueisha Limited (Japan).7z
renamed	sfc/Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan).7z	sfc/Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan).7z
renamed	sfc/Assault Suits Valken (Japan) (Translated En).zip	sfc/Juusou Kihei Valken (Japan).zip
renamed	sfc/Okamoto Ayako to Match Play Golf (Japan) (Translated En).zip	sfc/Okamoto Ayako to Match Play Golf - Ko Olina Golf Club in Hawaii (Japan).zip
renamed	sfc/Naxat Super Pinball - Jaki Hakai (Japan).zip	sfc/Naxat Super Pinball - Jaki Crush (Japan).zip
renamed	mastersystem/Road Rash (Europe).sms	mastersystem/Road Rash (Europe, Brazil) (En).sms
renamed	mastersystem/Jang Pung 3 (Korea) (Unl).sms	mastersystem/Jang Pung 3 (Korea) (En).sms
renamed	mastersystem/Missile Defense 3-D (USA, Europe).sms	mastersystem/Missile Defense 3-D (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Vigilante (USA, Europe).sms	mastersystem/Vigilante (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Kenseiden (USA, Europe).sms	mastersystem/Kenseiden (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Shinobi (USA, Europe).sms	mastersystem/Shinobi (USA, Europe, Brazil) (En) (Rev 1).sms
renamed	mastersystem/F-1 Spirit - The Way to Formula-1 (Korea) (Unl) (Pirate).sms	mastersystem/F-1 Spirit - The Way to Formula-1 (Korea) (En).sms
renamed	mastersystem/Cyborg Hunter (USA, Europe).sms	mastersystem/Cyborg Hunter (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Gangcheol RoboCop (Korea) (Unl).sms	mastersystem/Gangcheol RoboCop (Korea) (En).sms
renamed	mastersystem/Populous (Europe).sms	mastersystem/Populous (Europe, Brazil) (En).sms
renamed	mastersystem/Out Run 3-D (Europe).sms	mastersystem/OutRun 3-D (Europe, Brazil) (En).sms
renamed	mastersystem/Star Wars (Europe).sms	mastersystem/Star Wars (Europe, Brazil) (En).sms
renamed	mastersystem/Altered Beast (USA, Europe).sms	mastersystem/Altered Beast (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Cheese Cat-astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es).sms	mastersystem/Cheese Cat-astrophe Starring Speedy Gonzales (Europe, Brazil) (En,Fr,De,Es).sms
renamed	mastersystem/Cyborg Z (Korea).sms	mastersystem/Cyborg Z (Korea) (En).sms
renamed	mastersystem/Wonder Boy (USA, Europe).sms	mastersystem/Wonder Boy (USA, Europe, Brazil) (En) (Rev 1).sms
renamed	mastersystem/Flashpoint (Korea) (Unl).sms	mastersystem/Flashpoint (Korea) (En).sms
renamed	mastersystem/Ninja Gaiden (Europe).sms	mastersystem/Ninja Gaiden (Europe, Brazil) (En).sms
renamed	mastersystem/Gun.Smoke (Korea) (Unl).sms	mastersystem/Gun.Smoke (Korea) (En).sms
renamed	mastersystem/Ms. Pac-Man (Europe).sms	mastersystem/Ms. Pac-Man (Europe, Brazil) (En).sms
renamed	mastersystem/Bank Panic (Europe).sms	mastersystem/Bank Panic (Europe, Brazil) (En).sms
renamed	mastersystem/Alien Storm (Europe).sms	mastersystem/Alien Storm (Europe, Brazil) (En).sms
renamed	mastersystem/94 Super World Cup Soccer (Korea).sms	mastersystem/94 Super World Cup Soccer (Korea) (En).sms
renamed	mastersystem/Speedball (Europe) (Image Works).sms	mastersystem/Speedball (Europe).sms
renamed	mastersystem/Space Harrier 3-D (USA, Europe).sms	mastersystem/Space Harrier 3-D (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Asterix (Europe) (En,Fr) (Rev 1).sms	mastersystem/Asterix (Europe, Brazil) (En,Fr) (Rev 1).sms
renamed	mastersystem/Buggy Run (Europe).sms	mastersystem/Buggy Run (Europe, Brazil) (En).sms
renamed	mastersystem/Ecco the Dolphin (Europe).sms	mastersystem/Ecco the Dolphin (Europe, Brazil) (En).sms
renamed	mastersystem/Back to the Future Part II (Europe).sms	mastersystem/Back to the Future Part II (Europe, Brazil) (En).sms
renamed	mastersystem/Taz in Escape from Mars (Brazil).sms	mastersystem/Taz in Escape from Mars (Brazil) (En).sms
renamed	mastersystem/World Class Leader Board (Europe).sms	mastersystem/World Class Leaderboard (Europe, Brazil) (En).sms
renamed	mastersystem/Alex Kidd - High-Tech World (USA, Europe).sms	mastersystem/Alex Kidd - High-Tech World (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Dallyeora Pigu-Wang (Korea) (Unl).sms	mastersystem/Dallyeora Pigu-Wang (Korea).sms
renamed	mastersystem/Superman - The Man of Steel (Europe).sms	mastersystem/Superman - The Man of Steel (Europe, Brazil) (En).sms
renamed	mastersystem/Eagles 5 (Korea).sms	mastersystem/Eagles 5 (Korea) (En).sms
renamed	mastersystem/Land of Illusion Starring Mickey Mouse (Europe).sms	mastersystem/Land of Illusion Starring Mickey Mouse (Europe, Brazil) (En).sms
renamed	mastersystem/Spy vs. Spy (USA, Europe).sms	mastersystem/Spy vs Spy (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Danan - The Jungle Fighter (Europe).sms	mastersystem/Danan - The Jungle Fighter (Europe, Brazil) (En).sms
renamed	mastersystem/Mortal Kombat 3 (Brazil).sms	mastersystem/Mortal Kombat 3 (Brazil) (En).sms
renamed	mastersystem/Fantasy Zone (World) (Rev 2).sms	mastersystem/Fantasy Zone (World) (Rev 1).sms
renamed	mastersystem/Rampage (USA, Europe).sms	mastersystem/Rampage (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Forgotten Worlds (Europe).sms	mastersystem/Forgotten Worlds (Europe, Brazil) (En).sms
renamed	mastersystem/Wolfchild (Europe).sms	mastersystem/Wolfchild (Europe, Brazil) (En).sms
renamed	mastersystem/World Games (Europe).sms	mastersystem/World Games (Europe, Brazil) (En).sms
renamed	mastersystem/F1 (Europe).sms	mastersystem/F1 (Europe, Brazil) (En).sms
renamed	mastersystem/World Cup USA 94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv).sms	mastersystem/World Cup USA 94 (Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv).sms
renamed	mastersystem/Krusty's Fun House (Europe).sms	mastersystem/Krusty's Fun House (Europe, Brazil) (En).sms
renamed	mastersystem/Legend of Illusion Starring Mickey Mouse (Brazil).sms	mastersystem/Legend of Illusion Starring Mickey Mouse (Brazil) (En).sms
renamed	mastersystem/GP Rider (Europe).sms	mastersystem/GP Rider (Europe, Brazil) (En).sms
renamed	mastersystem/Shooting Gallery (USA, Europe).sms	mastersystem/Shooting Gallery (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Golvellius (USA, Europe).sms	mastersystem/Golvellius - Valley of Doom (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Fire & Ice (Brazil).sms	mastersystem/Fire & Ice (Brazil) (En).sms
renamed	mastersystem/Ghost House (USA, Europe).sms	mastersystem/Ghost House (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Battle Out Run (Europe).sms	mastersystem/Battle Out Run (Europe, Brazil) (En).sms
renamed	mastersystem/Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It).sms	mastersystem/Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It).sms
renamed	mastersystem/Ottifants, The (Europe) (En,Fr,De,Es,It).sms	mastersystem/Ottifants, The (Europe, Brazil) (En,Fr,De,Es,It).sms
renamed	mastersystem/Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It).sms	mastersystem/Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It).sms
renamed	mastersystem/Mortal Kombat II (Europe).sms	mastersystem/Mortal Kombat II (Europe, Brazil) (En).sms
renamed	mastersystem/Megumi Rescue (Japan).sms	mastersystem/Megumi Rescue (Japan) (En).sms
renamed	mastersystem/E-SWAT (USA, Europe) (Easy Version).sms	mastersystem/E-SWAT (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Dinosaur Dooley, The (Korea) (Unl).sms	mastersystem/Dinosaur Dooley, The (Korea) (En).sms
renamed	mastersystem/Incredible Hulk, The (Europe).sms	mastersystem/Incredible Hulk, The (Europe, Brazil) (En).sms
renamed	mastersystem/Sky Jaguar (Korea).sms	mastersystem/Sky Jaguar (Korea) (En) (Samsung).sms
renamed	mastersystem/Battlemaniacs (Brazil).sms	mastersystem/Battlemaniacs (Brazil) (En).sms
renamed	mastersystem/Winter Olympics - Lillehammer '94 (Europe) (En,Fr,De,Es,It,Pt,Sv,No).sms	mastersystem/Winter Olympics (Europe) (En,Fr,De,Es,It,Pt,Sv,No).sms
renamed	mastersystem/Gaegujangi Ggachi (Korea) (Unl).sms	mastersystem/Gaegujangi Kkachi (Korea).sms
renamed	mastersystem/Rescue Mission (USA, Europe).sms	mastersystem/Rescue Mission (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Jungle Book, The (Europe).sms	mastersystem/Jungle Book, The (Europe, Brazil) (En).sms
renamed	mastersystem/Aladdin (Europe).sms	mastersystem/Aladdin (Europe, Brazil) (En).sms
renamed	mastersystem/Assault City (Europe).sms	mastersystem/Assault City (Europe) (Joypad).sms
renamed	mastersystem/Mopiranger (Korea) (Unl).sms	mastersystem/Mopiranger (Korea) (En).sms
renamed	mastersystem/Shadow Dancer (Europe).sms	mastersystem/Shadow Dancer - The Secret of Shinobi (Europe, Brazil) (En).sms
renamed	mastersystem/Simpsons, The - Bart vs. the Space Mutants (Europe).sms	mastersystem/Simpsons, The - Bart vs. The Space Mutants (Europe, Brazil) (En).sms
renamed	mastersystem/Master of Darkness (Europe).sms	mastersystem/Master of Darkness (Europe, Brazil) (En).sms
renamed	mastersystem/Super Kick Off (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv).sms	mastersystem/Super Kick Off (Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv).sms
renamed	mastersystem/Tom and Jerry - The Movie (Europe).sms	mastersystem/Tom and Jerry - The Movie (Europe, Brazil) (En).sms
renamed	mastersystem/Global Defense (USA, Europe).sms	mastersystem/Global Defense (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Paperboy (USA).sms	mastersystem/Paperboy (USA, Brazil) (En).sms
renamed	mastersystem/Fushigi no Oshiro Pit Pot (Japan).sms	mastersystem/Fushigi no Oshiro Pit Pot (Japan) (En).sms
renamed	mastersystem/Bonkers Wax Up! (Brazil).sms	mastersystem/Bonkers Wax Up! (Brazil) (En).sms
renamed	mastersystem/Astro Warrior (Japan, USA).sms	mastersystem/Astro Warrior (Japan, USA, Brazil) (En).sms
renamed	mastersystem/Dynamite Dux (Europe).sms	mastersystem/Dynamite Dux (Europe, Brazil) (En).sms
renamed	mastersystem/R.C. Grand Prix (USA, Europe).sms	mastersystem/R.C. Grand Prix (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Gauntlet (Europe).sms	mastersystem/Gauntlet (Europe, Brazil) (En).sms
renamed	mastersystem/Aztec Adventure - The Golden Road to Paradise (World).sms	mastersystem/Aztec Adventure (World).sms
renamed	mastersystem/Sangokushi 3 (Korea) (Unl).sms	mastersystem/Samgukji III - Cheonha Jaengpae (Korea).sms
renamed	mastersystem/Puznic (Korea) (Unl).sms	mastersystem/Puzzle Game (Korea) (En).sms
renamed	mastersystem/Dragon Crystal (Europe).sms	mastersystem/Dragon Crystal (Europe, Brazil) (En).sms
renamed	mastersystem/My Hero (USA, Europe).sms	mastersystem/My Hero (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Action Fighter (USA, Europe) (Rev 2).sms	mastersystem/Action Fighter (USA, Europe, Brazil) (En) (Rev 1).sms
renamed	mastersystem/Xyzolog (Korea).sms	mastersystem/Xyzolog (Korea) (En).sms
renamed	mastersystem/Golden Axe Warrior (USA, Europe).sms	mastersystem/Golden Axe Warrior (USA, Europe, Brazil) (En).sms
renamed	mastersystem/Putt & Putter (Europe).sms	mastersystem/Putt & Putter (Europe, Brazil) (En).sms
